NM2,NM3,NM4,NM5,IDN5
Košický,Trebišov,Dargov,Dargov,"810096"
Prešovský,Vranov nad Topľou,Davidov,Davidov,"810100"
Košický,Košice - okolie,Debraď,Debraď,"810118"
Prešovský,Humenné,Dedačov,Dedačov,"810134"
Nitriansky,Komárno,Dedina Mládeže,Dedina Mládeže,"810142"
Nitriansky,Nové Zámky,Dedinka,Dedinka,"810169"
Košický,Rožňava,Dedinky,Dedinky,"810185"
Trnavský,Trnava,Dechtice,Dechtice,"810223"
Banskobystrický,Banská Štiavnica,Dekýš,Dekýš,"810231"
Nitriansky,Levice,Demandice,Demandice,"810240"
Žilinský,Liptovský Mikuláš,Liptovský Mikuláš,Demänová,"810282"
Žilinský,Liptovský Mikuláš,Demänovská Dolina,Demänovská Dolina,"810304"
Prešovský,Prešov,Demjata,Demjata,"810347"
Prešovský,Vranov nad Topľou,Detrík,Detrík,"810355"
Banskobystrický,Detva,Detva,Detva,"810363"
Banskobystrický,Detva,Detvianska Huta,Detvianska Huta,"810550"
Nitriansky,Levice,Devičany,Dolné Devičany,"810606"
Nitriansky,Levice,Devičany,Horné Devičany,"810614"
Banskobystrický,Krupina,Devičie,Devičie,"810622"
Bratislavský,Bratislava IV,Bratislava-Devínska Nová Ves,Devínska Nová Ves,"810649"
Trenčiansky,Bánovce nad Bebravou,Dežerice,Dežerice,"810673"
Trenčiansky,Bánovce nad Bebravou,Dežerice,Vlčkovo,"810681"
Žilinský,Martin,Diaková,Diaková,"810690"
Nitriansky,Šaľa,Diakovce,Diakovce,"810703"
Nitriansky,Nové Zámky,Šarkan,Diva,"810711"
Trenčiansky,Prievidza,Diviacka Nová Ves,Diviacka Nová Ves,"810720"
Trenčiansky,Prievidza,Diviacka Nová Ves,Vrbany,"810738"
Žilinský,Turčianske Teplice,Turčianske Teplice,Diviaky,"810746"
Trenčiansky,Prievidza,Diviaky nad Nitricou,Diviaky nad Nitricou,"810762"
Banskobystrický,Lučenec,Divín,Divín,"810789"
Žilinský,Žilina,Divina,Divina,"810835"
Žilinský,Žilina,Divinka,Divinka,"810851"
Trnavský,Trnava,Dlhá,Dlhá,"810878"
Prešovský,Bardejov,Bardejov,Dlhá Lúka,"810886"
Žilinský,Čadca,Dlhá nad Kysucou,Dlhá nad Kysucou,"810908"
Žilinský,Dolný Kubín,Dlhá nad Oravou,Dlhá nad Oravou,"810991"
Nitriansky,Šaľa,Dlhá nad Váhom,Dlhá nad Váhom,"811009"
Košický,Rožňava,Dlhá Ves,Dlhá Ves,"811017"
Prešovský,Vranov nad Topľou,Dlhé Klčovo,Dlhé Klčovo,"811025"
Prešovský,Snina,Dlhé nad Cirochou,Dlhé nad Cirochou,"811033"
Žilinský,Žilina,Dlhé Pole,Dlhé Pole,"811041"
Prešovský,Levoča,Dlhé Stráže,Dlhé Stráže,"811149"
Prešovský,Svidník,Dlhoňa,Dlhoňa,"811157"
Trenčiansky,Prievidza,Dlžín,Dlžín,"811165"
Trenčiansky,Trenčín,Trenčianska Teplá,Dobrá,"811173"
Košický,Trebišov,Dobrá,Dobrá,"811181"
Banskobystrický,Zvolen,Dobrá Niva,Dobrá Niva,"811190"
Trnavský,Trnava,Dobrá Voda,Dobrá Voda,"811220"
Banskobystrický,Lučenec,Dobroč,Dobroč,"811254"
Banskobystrický,Lučenec,Kotmanová,Kotmanová,"811301"
Trnavský,Dunajská Streda,Dobrohošť,Dobrohošť,"811343"
Prešovský,Svidník,Dobroslava,Dobroslava,"811351"
Košický,Rožňava,Dobšiná,Dobšiná,"811378"
Trenčiansky,Púchov,Dohňany,Dohňany,"811432"
Trnavský,Senica,Dojč,Dojč,"811475"
Bratislavský,Pezinok,Doľany,Doľany,"811483"
Prešovský,Levoča,Doľany,Doľany,"811491"
Banskobystrický,Veľký Krtíš,Dolinka,Dolinka,"811513"
Trenčiansky,Púchov,Dolná Breznica,Dolná Breznica,"811521"
Trnavský,Trnava,Dolná Krupá,Dolná Krupá,"811548"
Banskobystrický,Brezno,Dolná Lehota,Dolná Lehota,"811572"
Žilinský,Dolný Kubín,Oravský Podzámok,Dolná Lehota,"811599"
Trenčiansky,Považská Bystrica,Dolná Mariková,Dolná Mariková,"811611"
Banskobystrický,Banská Bystrica,Dolná Mičiná,Dolná Mičiná,"811718"
Trenčiansky,Trenčín,Dolná Poruba,Dolná Poruba,"811726"
Nitriansky,Levice,Dolná Seč,Dolná Seč,"811769"
Trnavský,Galanta,Dolná Streda,Dolná Streda,"811777"
Banskobystrický,Veľký Krtíš,Dolná Strehová,Dolná Strehová,"811785"
Trenčiansky,Trenčín,Dolná Súča,Dolná Súča,"811840"
Žilinský,Turčianske Teplice,Turčianske Teplice,Dolná Štubňa,"811874"
Žilinský,Žilina,Dolná Tižina,Dolná Tižina,"811904"
Banskobystrický,Žiar nad Hronom,Dolná Trnávka,Dolná Trnávka,"811921"
Banskobystrický,Žiar nad Hronom,Dolná Ves,Dolná Ves,"811939"
Banskobystrický,Žiar nad Hronom,Dolná Ždaňa,Dolná Ždaňa,"811947"
Trenčiansky,Bánovce nad Bebravou,Veľké Držkovce,Dolné Držkovce,"811955"
Trnavský,Trnava,Dolné Dubové,Dolné Dubové,"811963"
Banskobystrický,Žarnovica,Hodruša-Hámre,Dolné Hámre,"811971"
Trenčiansky,Púchov,Dolné Kočkovce,Dolné Kočkovce,"812013"
Nitriansky,Nitra,Nitra,Dolné Krškany,"812021"
Nitriansky,Nitra,Dolné Lefantovce,Dolné Lefantovce,"812048"
Banskobystrický,Krupina,Dolné Mladonice,Dolné Mladonice,"812056"
Trenčiansky,Bánovce nad Bebravou,Dolné Naštice,Dolné Naštice,"812072"
Nitriansky,Nitra,Dolné Obdokovce,Dolné Obdokovce,"812081"
Trnavský,Trnava,Dolné Orešany,Dolné Orešany,"812099"
Trnavský,Hlohovec,Dolné Otrokovce,Dolné Otrokovce,"812102"
Banskobystrický,Veľký Krtíš,Dolné Plachtince,Dolné Plachtince,"812111"
Trnavský,Galanta,Dolné Saliby,Dolné Saliby,"812129"
Nitriansky,Levice,Dolné Semerovce,Dolné Semerovce,"812137"
Trenčiansky,Nové Mesto nad Váhom,Dolné Srnie,Dolné Srnie,"812145"
Banskobystrický,Veľký Krtíš,Dolné Strháre,Dolné Strháre,"812153"
Nitriansky,Nitra,Štitáre,Dolné Štitáre,"812161"
Trnavský,Hlohovec,Dolné Trhovište,Dolné Trhovište,"812170"
Trenčiansky,Prievidza,Dolné Vestenice,Dolné Vestenice,"812188"
Banskobystrický,Rimavská Sobota,Dolné Zahorany,Dolné Zahorany,"812196"
Trnavský,Hlohovec,Dolné Zelenice,Dolné Zelenice,"812200"
Banskobystrický,Krupina,Dolný Badín,Dolný Badín,"812226"
Trnavský,Dunajská Streda,Dolný Bar,Dolný Bar,"812234"
Trnavský,Dunajská Streda,Mad,Mad,"812242"
Banskobystrický,Banská Bystrica,Dolný Harmanec,Dolný Harmanec,"812251"
Žilinský,Žilina,Dolný Hričov,Dolný Hričov,"812277"
Trnavský,Galanta,Dolný Chotár,Dolný Chotár,"812293"
Žilinský,Martin,Dolný Kalník,Dolný Kalník,"812307"
Žilinský,Dolný Kubín,Dolný Kubín,Dolný Kubín,"812315"
Žilinský,Dolný Kubín,Dolný Kubín,Veľký Bysterec,"812331"
Žilinský,Dolný Kubín,Dolný Kubín,Malý Bysterec,"812340"
Žilinský,Dolný Kubín,Dolný Kubín,Záskalie,"812404"
Žilinský,Dolný Kubín,Dolný Kubín,Kubínska Hoľa,"812455"
Žilinský,Dolný Kubín,Dolný Kubín,Medzihradné,"812463"
Trenčiansky,Považská Bystrica,Dolný Lieskov,Dolný Lieskov,"812471"
Trnavský,Piešťany,Dolný Lopašov,Dolný Lopašov,"812480"
Trenčiansky,Považská Bystrica,Považská Bystrica,Dolný Moštenec,"812501"
Nitriansky,Nové Zámky,Dolný Ohaj,Dolný Ohaj,"812510"
Nitriansky,Komárno,Svätý Peter,Svätý Peter,"812536"
Nitriansky,Levice,Dolný Pial,Dolný Pial,"812544"
Banskobystrický,Detva,Horný Tisovník,Dolný Tisovník,"812552"
Žilinský,Kysucké Nové Mesto,Dolný Vadičov,Dolný Vadičov,"812561"
Nitriansky,Levice,Domadice,Domadice,"812579"
Banskobystrický,Krupina,Domaníky,Domaníky,"812587"
Trenčiansky,Považská Bystrica,Domaniža,Domaniža,"812595"
Prešovský,Levoča,Domaňovce,Domaňovce,"812625"
Banskobystrický,Banská Bystrica,Donovaly,Donovaly,"812641"
Žilinský,Liptovský Mikuláš,Liptovský Hrádok,Dovalovo,"812714"
Banskobystrický,Brezno,Drábsko,Drábsko,"812722"
Košický,Michalovce,Drahňov,Drahňov,"812757"
Trnavský,Piešťany,Drahovce,Drahovce,"812773"
Prešovský,Levoča,Dravce,Dravce,"812803"
Banskobystrický,Rimavská Sobota,Dražice,Dražice,"812811"
Žilinský,Martin,Dražkovce,Dražkovce,"812820"
Nitriansky,Nitra,Nitra,Dražovce,"812854"
Banskobystrický,Krupina,Drážovce,Drážovce,"812871"
Banskobystrický,Rimavská Sobota,Drienčany,Drienčany,"812889"
Banskobystrický,Rimavská Sobota,Drienčany,Papča,"812897"
Prešovský,Sabinov,Drienica,Drienica,"812901"
Prešovský,Prešov,Drienov,Drienov,"812927"
Košický,Košice - okolie,Drienovec,Drienovec,"812935"
Banskobystrický,Krupina,Drienovo,Drienovo,"812943"
Prešovský,Prešov,Drienovská Nová Ves,Drienovská Nová Ves,"812960"
Trenčiansky,Trenčín,Drietoma,Drietoma,"813001"
Banskobystrický,Rimavská Sobota,Drňa,Drňa,"813052"
Košický,Rožňava,Drnava,Drnava,"813061"
Košický,Košice - okolie,Kostoľany nad Hornádom,Kostoľany nad Hornádom,"813079"
Košický,Košice - okolie,Družstevná pri Hornáde,Malá Vieska,"813087"
Košický,Košice - okolie,Družstevná pri Hornáde,Tepličany,"813095"
Nitriansky,Levice,Drženice,Drženice,"813109"
Banskobystrický,Revúca,Držkovce,Držkovce,"813117"
Banskobystrický,Poltár,Ďubákovo,Ďubákovo,"813125"
Prešovský,Bardejov,Dubinné,Dubinné,"813133"
Trenčiansky,Ilava,Dubnica nad Váhom,Dubnica nad Váhom,"813141"
Trenčiansky,Bánovce nad Bebravou,Dubnička,Dubnička,"813222"
Nitriansky,Nové Zámky,Dubník,Dubník,"813249"
Nitriansky,Nové Zámky,Dubník,Mikulášov dvor,"813265"
Banskobystrický,Rimavská Sobota,Dubno,Dubno,"813281"
Trenčiansky,Trenčín,Dubodiel,Dubodiel,"813290"
Bratislavský,Pezinok,Dubová,Dubová,"813303"
Prešovský,Svidník,Dubová,Dubová,"813311"
Trnavský,Piešťany,Dubovany,Dolné Dubovany,"813320"
Trnavský,Piešťany,Dubovany,Horné Dubovany,"813338"
Trnavský,Skalica,Dubovce,Vlčkovany,"813346"
Trnavský,Skalica,Dubovce,Vidovany,"813354"
Žilinský,Turčianske Teplice,Dubové,Dubové,"813362"
Banskobystrický,Zvolen,Dubové,Dubové,"813371"
Banskobystrický,Rimavská Sobota,Dubovec,Dubovec,"813389"
Prešovský,Sabinov,Dubovica,Dubovica,"813397"
Žilinský,Liptovský Mikuláš,Dúbrava,Dúbrava,"813401"
Prešovský,Snina,Dúbrava,Dúbrava,"813427"
Prešovský,Levoča,Dúbrava,Dúbrava,"813435"
Banskobystrický,Banská Bystrica,Dúbravica,Dúbravica,"813443"
Košický,Michalovce,Dúbravka,Dúbravka,"813451"
Banskobystrický,Detva,Dúbravy,Dúbravy,"813478"
Trnavský,Piešťany,Ducové,Ducové,"813516"
Banskobystrický,Krupina,Dudince,Dudince,"813532"
Banskobystrický,Krupina,Dudince,Merovce,"813559"
Prešovský,Svidník,Dukovce,Dukovce,"813567"
Žilinský,Martin,Belá-Dulice,Dulice,"813575"
Trenčiansky,Ilava,Dulov,Dulov,"813583"
Prešovský,Prešov,Dulova Ves,Dulova Ves,"813591"
Nitriansky,Komárno,Dulovce,Dulovce,"813605"
Žilinský,Čadca,Dunajov,Dunajov,"813630"
Trnavský,Dunajská Streda,Dunajská Streda,Dunajská Streda,"813664"
Trnavský,Dunajská Streda,Dunajská Streda,Mliečany,"813826"
Trnavský,Dunajská Streda,Dunajská Streda,Malé Blahovo,"813834"
Prešovský,Stropkov,Duplín,Duplín,"813842"
Žilinský,Žilina,Ďurčiná,Ďurčiná,"813851"
Prešovský,Vranov nad Topľou,Ďurďoš,Ďurďoš,"813877"
Košický,Košice - okolie,Ďurďošík,Ďurďošík,"813893"
Trenčiansky,Považská Bystrica,Ďurďové,Ďurďové,"813907"
Košický,Košice - okolie,Ďurkov,Ďurkov,"813915"
Prešovský,Stará Ľubovňa,Ďurková,Ďurková,"813923"
Banskobystrický,Veľký Krtíš,Ďurkovce,Ďurkovce,"813931"
Banskobystrický,Rimavská Sobota,Rimavská Sobota,Dúžava,"813940"
Nitriansky,Topoľčany,Dvorany nad Nitrou,Dvorany nad Nitrou,"813958"
Trenčiansky,Bánovce nad Bebravou,Dvorec,Dvorec,"813966"
Žilinský,Turčianske Teplice,Ivančiná,Dvorec nad Turcom,"813982"
Košický,Trebišov,Dvorianky,Dvorianky,"813991"
Trnavský,Hlohovec,Dvorníky,Dvorníky,"814024"
Banskobystrický,Krupina,Hontianske Tesáre,Dvorníky,"814083"
Trnavský,Dunajská Streda,Malé Dvorníky,Malé Dvorníky,"814113"
Trnavský,Dunajská Streda,Veľké Dvorníky,Veľké Dvorníky,"814121"
Nitriansky,Nové Zámky,Dvory nad Žitavou,Dvory nad Žitavou,"814148"
Nitriansky,Nitra,Vráble,Dyčka,"814156"
Košický,Trebišov,Egreš,Egreš,"814172"
Žilinský,Žilina,Fačkov,Fačkov,"814181"
Košický,Michalovce,Falkušovce,Falkušovce,"814199"
Nitriansky,Levice,Farná,Farná,"814202"
Košický,Sobrance,Fekišovce,Fekišovce,"814211"
Banskobystrický,Rimavská Sobota,Figa,Figa,"814229"
Prešovský,Svidník,Fijaš,Fijaš,"814237"
Banskobystrický,Lučenec,Fiľakovo,Fiľakovo,"814296"
Banskobystrický,Lučenec,Fiľakovské Kováče,Fiľakovské Kováče,"814334"
Prešovský,Prešov,Fintice,Fintice,"814351"
Žilinský,Martin,Folkušová,Folkušová,"814369"
Prešovský,Stará Ľubovňa,Forbasy,Forbasy,"814377"
Prešovský,Bardejov,Frička,Frička,"814385"
Prešovský,Bardejov,Fričkovce,Fričkovce,"814393"
Prešovský,Prešov,Fričovce,Fričovce,"814415"
Prešovský,Prešov,Fulianka,Fulianka,"814423"
Trnavský,Dunajská Streda,Gabčíkovo,Gabčíkovo,"814440"
Prešovský,Bardejov,Gaboltov,Gaboltov,"814474"
Bratislavský,Malacky,Gajary,Gajary,"814482"
Trnavský,Galanta,Galanta,Galanta,"814504"
Trnavský,Galanta,Galanta,Hody,"814539"
Trnavský,Galanta,Galanta,Nebojsa,"814610"
Žilinský,Liptovský Mikuláš,Galovany,Galovany,"814628"
Trnavský,Galanta,Gáň,Brakoň,"814636"
Trnavský,Galanta,Gáň,Gáň,"814644"
Prešovský,Poprad,Gánovce,Filice,"814652"
Prešovský,Poprad,Gánovce,Gánovce,"814661"
Žilinský,Žilina,Gbeľany,Gbeľany,"814679"
Nitriansky,Nové Zámky,Gbelce,Gbelce,"814687"
Trnavský,Skalica,Gbely,Gbely,"814717"
Košický,Košice - okolie,Geča,Geča,"814733"
Košický,Gelnica,Gelnica,Gelnica,"814741"
Banskobystrický,Revúca,Gemer,Gemer,"814865"
Banskobystrický,Rimavská Sobota,Gemerček,Gemerček,"814881"
Košický,Rožňava,Gemerská Hôrka,Gemerská Hôrka,"814903"
Košický,Rožňava,Gemerská Panica,Gemerská Panica,"814911"
Košický,Rožňava,Gemerská Poloma,Gemerská Poloma,"814938"
Banskobystrický,Revúca,Gemerská Ves,Gemerská Ves,"814954"
Banskobystrický,Rimavská Sobota,Gemerské Dechtáre,Gemerské Dechtáre,"814971"
Banskobystrický,Rimavská Sobota,Gemerské Michalovce,Gemerské Michalovce,"814989"
Banskobystrický,Revúca,Gemerské Teplice,Gemerský Milhosť,"814997"
Banskobystrický,Revúca,Gemerské Teplice,Jelšavská Teplica,"815004"
Banskobystrický,Rimavská Sobota,Gemerský Jablonec,Gemerský Jablonec,"815021"
Banskobystrický,Revúca,Gemerský Sad,Mikolčany,"815039"
Banskobystrický,Revúca,Gemerský Sad,Nováčany,"815047"
Prešovský,Prešov,Geraltov,Geraltov,"815055"
Prešovský,Bardejov,Gerlachov,Gerlachov,"815071"
Prešovský,Poprad,Gerlachov,Gerlachov,"815098"
Prešovský,Vranov nad Topľou,Giglovce,Giglovce,"815101"
Prešovský,Svidník,Giraltovce,Giraltovce,"815136"
Prešovský,Vranov nad Topľou,Girovce,Girovce,"815144"
Banskobystrický,Veľký Krtíš,Glabušovce,Glabušovce,"815152"
Košický,Rožňava,Gočaltovo,Gočaltovo,"815179"
Košický,Rožňava,Gočovo,Gočovo,"815187"
Nitriansky,Nitra,Golianovo,Golianovo,"815195"
Nitriansky,Levice,Nová Dedina,Gondovo,"815209"
Banskobystrický,Rimavská Sobota,Gortva,Gortva,"815217"
Banskobystrický,Rimavská Sobota,Gortva,Bizovo,"815225"
Banskobystrický,Rimavská Sobota,Gortva,Čenice,"815233"
Žilinský,Liptovský Mikuláš,Gôtovany,Gôtovany,"815250"
Prešovský,Levoča,Granč-Petrovce,Granč-Petrovce,"815268"
Banskobystrický,Lučenec,Gregorova Vieska,Gregorova Vieska,"815276"
Prešovský,Prešov,Gregorovce,Gregorovce,"815284"
Prešovský,Stropkov,Gribov,Gribov,"815292"
Košický,Košice - okolie,Gyňov,Gyňov,"815306"
Žilinský,Tvrdošín,Habovka,Habovka,"815322"
Prešovský,Medzilaborce,Habura,Habura,"815331"
Banskobystrický,Rimavská Sobota,Hnúšťa,Hačava,"815349"
Košický,Košice - okolie,Hačava,Hačava,"815365"
Prešovský,Kežmarok,Reľov,Hágy,"815373"
Žilinský,Turčianske Teplice,Háj,Háj,"815381"
Nitriansky,Topoľčany,Hajná Nová Ves,Hajná Nová Ves,"815390"
Banskobystrický,Rimavská Sobota,Hajnáčka,Hajnáčka,"815411"
Nitriansky,Šaľa,Hájske,Hájske,"815446"
Prešovský,Stará Ľubovňa,Hajtovka,Hajtovka,"815462"
Trenčiansky,Bánovce nad Bebravou,Haláčovce,Haláčovce,"815471"
Trenčiansky,Bánovce nad Bebravou,Otrhánky,Otrhánky,"815489"
Banskobystrický,Lučenec,Halič,Halič,"815501"
Prešovský,Stará Ľubovňa,Haligovce,Haligovce,"815578"
Trenčiansky,Trenčín,Trenčianska Turná,Hámre,"815586"
Bratislavský,Senec,Hamuliakovo,Hamuliakovo,"815594"
Trenčiansky,Prievidza,Handlová,Handlová,"815608"
Prešovský,Sabinov,Hanigovce,Hanigovce,"815675"
Košický,Košice - okolie,Haniska,Haniska,"815691"
Prešovský,Prešov,Haniska,Haniska,"815705"
Košický,Rožňava,Hanková,Hanková,"815713"
Prešovský,Bardejov,Hankovce,Hankovce,"815721"
Prešovský,Humenné,Hankovce,Hankovce,"815730"
Prešovský,Vranov nad Topľou,Hanušovce nad Topľou,Hanušovce nad Topľou,"815748"
Prešovský,Levoča,Harakovce,Harakovce,"815764"
Prešovský,Bardejov,Harhaj,Harhaj,"815772"
Košický,Spišská Nová Ves,Harichovce,Harichovce,"815781"
Banskobystrický,Banská Bystrica,Harmanec,Harmanec,"815799"
Žilinský,Čadca,Nová Bystrica,Harvelka,"815802"
Košický,Michalovce,Hatalov,Hatalov,"815918"
Trenčiansky,Považská Bystrica,Hatné,Hatné,"815926"
Prešovský,Stropkov,Havaj,Havaj,"815942"
Prešovský,Kežmarok,Havka,Havka,"815951"
Prešovský,Svidník,Havranec,Havranec,"815969"
Košický,Michalovce,Hažín,Hažín,"815977"
Prešovský,Bardejov,Hažlín,Hažlín,"815985"
Košický,Gelnica,Helcmanovce,Helcmanovce,"816001"
Banskobystrický,Brezno,Heľpa,Heľpa,"816019"
Košický,Rožňava,Henckovce,Henckovce,"816027"
Košický,Gelnica,Henclová,Henclová,"816035"
Prešovský,Vranov nad Topľou,Hencovce,Hencovce,"816043"
Prešovský,Prešov,Hendrichovce,Hendrichovce,"816051"
Košický,Košice - okolie,Herľany,Herľany,"816060"
Košický,Košice - okolie,Herľany,Žírovce,"816078"
Prešovský,Prešov,Hermanovce,Hermanovce,"816086"
Prešovský,Vranov nad Topľou,Hermanovce nad Topľou,Hermanovce nad Topľou,"816094"
Prešovský,Bardejov,Hertník,Hertník,"816108"
Prešovský,Bardejov,Hervartov,Hervartov,"816116"
Banskobystrický,Banská Bystrica,Hiadeľ,Hiadeľ,"816124"
Košický,Spišská Nová Ves,Hincovce,Hincovce,"816132"
Žilinský,Tvrdošín,Hladovka,Hladovka,"816159"
Trnavský,Senica,Hlboké,Hlboké,"816175"
Žilinský,Bytča,Hlboké nad Váhom,Hlboké nad Váhom,"816183"
Banskobystrický,Žiar nad Hronom,Hliník nad Hronom,Hliník nad Hronom,"816191"
Prešovský,Vranov nad Topľou,Hlinné,Hlinné,"816221"
Košický,Sobrance,Hlivištia,Hlivištia,"816230"
Trnavský,Hlohovec,Hlohovec,Hlohovec,"816248"
Trenčiansky,Púchov,Beluša,Hloža-Podhorie,"816400"
Prešovský,Stará Ľubovňa,Hniezdne,Hniezdne,"816418"
Košický,Spišská Nová Ves,Hnilčík,Hnilčík,"816434"
Košický,Spišská Nová Ves,Hnilec,Hnilec,"816477"
Košický,Michalovce,Hnojné,Hnojné,"816507"
Banskobystrický,Rimavská Sobota,Hnúšťa,Hnúšťa,"816515"
Banskobystrický,Rimavská Sobota,Hodejov,Hodejov,"816558"
Banskobystrický,Rimavská Sobota,Hodejovec,Hodejovec,"816566"
Košický,Košice - okolie,Hodkovce,Hodkovce,"816574"
Nitriansky,Levice,Hokovce,Hokovce,"816582"
Prešovský,Vranov nad Topľou,Holčíkovce,Holčíkovce,"816591"
Nitriansky,Komárno,Holiare,Dolné Holiare,"816612"
Nitriansky,Komárno,Holiare,Horné Holiare,"816621"
Trnavský,Dunajská Streda,Holice,Beketfa,"816639"
Trnavský,Dunajská Streda,Holice,Čéfa,"816647"
Trnavský,Dunajská Streda,Holice,Kostolná Gala,"816655"
Trnavský,Dunajská Streda,Holice,Malá Budafa,"816663"
Trnavský,Dunajská Streda,Holice,Póšfa,"816680"
Trnavský,Dunajská Streda,Holice,Stará Gala,"816698"
Trnavský,Dunajská Streda,Holice,Veľká Budafa,"816701"
Trnavský,Dunajská Streda,Holice,Čentöfa,"816710"
Trnavský,Skalica,Holíč,Holíč,"816728"
Banskobystrický,Lučenec,Holiša,Holiša,"816850"
Prešovský,Kežmarok,Holumnica,Holumnica,"816884"
Košický,Rožňava,Honce,Honce,"816892"
Nitriansky,Levice,Hontianska Vrbica,Hontianska Vrbica,"816906"
Banskobystrický,Krupina,Hontianske Moravce,Kostolné Moravce,"816914"
Banskobystrický,Krupina,Hontianske Moravce,Opatové Moravce,"816922"
Banskobystrický,Krupina,Hontianske Nemce,Hontianske Nemce,"816931"
Banskobystrický,Krupina,Hontianske Nemce,Rakovec,"816957"
Banskobystrický,Krupina,Hontianske Tesáre,Hontianske Tesáre,"816973"
Trenčiansky,Púchov,Lednické Rovne,Horenice,"817007"
Trenčiansky,Púchov,Lednické Rovne,Medné,"817015"
Trenčiansky,Púchov,Lednické Rovne,Hôrka,"817023"
Prešovský,Poprad,Hôrka,Hôrka,"817040"
Trenčiansky,Nové Mesto nad Váhom,Hôrka nad Váhom,Hôrka nad Váhom,"817104"
Žilinský,Žilina,Hôrky,Hôrky,"817139"
Košický,Sobrance,Horňa,Horňa,"817147"
Trenčiansky,Púchov,Horná Breznica,Horná Breznica,"817163"
Nitriansky,Šaľa,Horná Kráľová,Horná Kráľová,"817171"
Trnavský,Trnava,Horná Krupá,Horná Krupá,"817180"
Banskobystrický,Brezno,Horná Lehota,Horná Lehota,"817201"
Žilinský,Dolný Kubín,Horná Lehota,Horná Lehota,"817210"
Trenčiansky,Považská Bystrica,Horná Mariková,Horná Mariková,"817287"
Banskobystrický,Banská Bystrica,Horná Mičiná,Horná Mičiná,"817457"
Trenčiansky,Ilava,Horná Poruba,Horná Poruba,"817465"
Trnavský,Dunajská Streda,Horná Potôň,Benkova Potôň,"817490"
Trnavský,Dunajská Streda,Horná Potôň,Čečínska Potôň,"817503"
Trnavský,Dunajská Streda,Horná Potôň,Horná Potôň,"817511"
Trnavský,Dunajská Streda,Potônske Lúky,Potônske Lúky,"817520"
Nitriansky,Levice,Horná Seč,Horná Seč,"817571"
Trenčiansky,Nové Mesto nad Váhom,Horná Streda,Horná Streda,"817589"
Banskobystrický,Veľký Krtíš,Horná Strehová,Horná Strehová,"817597"
